tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	oInt        	bInt        	tInt 
00519	0.169161E+00	0.164838E+00	0.123990E+00	0.213332E-01	0.798622E-02	0.833605E-01	0.685806E-02	0.468733E-02	0.271115E-01	0.409188E-02	0.312986E-02	0.253548E-02	0.121805E-01	0.262991E-02	0.599651E-04	0.170741E-02	0.148190E-02	0.656698E-02	0.163565E-02	0.556294E-04	0.570375E-06	0.169161E+00	0.288828E+00	0.112680E+00	0.427488E-01	0.205357E-01	0.114481E-01	0.645401E+00	0.316090E+00	0.961491E+00 
00529	0.152867E+00	0.918330E-01	0.305813E+00	0.184007E-01	0.138658E-01	0.573788E-01	0.644263E-02	0.254987E-02	0.234512E-01	0.641567E-03	0.301087E-02	0.866469E-03	0.114257E-01	0.437839E-03	0.229886E-05	0.165632E-02	0.400098E-03	0.639145E-02	0.279564E-03	0.220352E-05	0.283617E-07	0.152867E+00	0.397646E+00	0.896452E-01	0.330853E-01	0.157431E-01	0.872966E-02	0.697716E+00	0.272470E+00	0.970186E+00 
00539	0.144332E+00	0.130575E-01	0.466167E+00	0.147391E-02	0.515974E-01	0.130851E-01	0.417513E-03	0.150697E-01	0.621725E-02	0.216272E-04	0.178454E-03	0.656130E-02	0.321845E-02	0.140914E-04	0.646328E-07	0.937733E-04	0.348774E-02	0.185825E-02	0.882798E-05	0.547785E-07	0.575311E-08	0.144332E+00	0.479225E+00	0.661564E-01	0.217261E-01	0.997236E-02	0.544865E-02	0.726861E+00	0.253856E+00	0.980717E+00 
00549	0.147386E+00	0.989464E-02	0.472230E+00	0.743546E-02	0.422971E-01	0.226817E-01	0.313518E-02	0.121437E-01	0.497440E-02	0.193303E-03	0.153694E-02	0.527192E-02	0.158967E-02	0.101793E-03	0.616959E-06	0.859153E-03	0.279697E-02	0.668029E-03	0.543519E-04	0.569065E-06	0.521231E-08	0.147386E+00	0.482125E+00	0.724143E-01	0.204466E-01	0.850093E-02	0.437907E-02	0.735252E+00	0.247292E+00	0.982544E+00 
00559	0.158609E+00	0.689392E-01	0.354564E+00	0.253043E-01	0.811793E-02	0.658958E-01	0.925241E-02	0.169940E-02	0.143840E-01	0.199427E-02	0.426687E-02	0.722335E-03	0.484906E-02	0.110240E-02	0.261565E-04	0.230947E-02	0.395930E-03	0.215926E-02	0.617466E-03	0.247261E-04	0.203142E-06	0.158609E+00	0.423503E+00	0.993180E-01	0.273300E-01	0.109668E-01	0.550705E-02	0.725234E+00	0.252459E+00	0.977693E+00 
00569	0.171192E+00	0.125766E+00	0.231502E+00	0.298663E-01	0.996154E-03	0.883594E-01	0.999549E-02	0.585469E-03	0.175776E-01	0.536661E-02	0.448715E-02	0.261529E-03	0.611269E-02	0.282560E-02	0.145224E-03	0.240705E-02	0.138746E-03	0.288022E-02	0.154213E-02	0.133624E-03	0.178962E-05	0.171192E+00	0.357268E+00	0.119222E+00	0.335251E-01	0.138322E-01	0.710355E-02	0.702143E+00	0.271181E+00	0.973324E+00 
00579	0.179911E+00	0.154554E+00	0.160971E+00	0.267353E-01	0.892776E-02	0.903832E-01	0.868394E-02	0.294287E-02	0.171379E-01	0.761889E-02	0.393760E-02	0.108274E-02	0.641141E-02	0.379403E-02	0.299305E-03	0.214184E-02	0.495492E-03	0.325192E-02	0.200766E-02	0.268442E-03	0.502400E-05	0.179911E+00	0.315525E+00	0.126046E+00	0.363836E-01	0.155251E-01	0.817038E-02	0.681562E+00	0.289254E+00	0.970815E+00 
00589	0.182515E+00	0.161298E+00	0.142623E+00	0.252164E-01	0.124812E-01	0.893464E-01	0.817992E-02	0.382268E-02	0.168275E-01	0.819733E-02	0.374337E-02	0.137618E-02	0.650038E-02	0.400406E-02	0.356494E-03	0.205249E-02	0.621623E-03	0.338088E-02	0.209680E-02	0.316974E-03	0.653264E-05	0.182515E+00	0.303921E+00	0.127044E+00	0.370275E-01	0.159805E-01	0.847530E-02	0.674963E+00	0.295115E+00	0.970078E+00 
00599	0.179045E+00	0.152415E+00	0.167038E+00	0.271347E-01	0.783913E-02	0.904241E-01	0.882389E-02	0.265191E-02	0.172427E-01	0.738248E-02	0.399169E-02	0.982208E-03	0.639358E-02	0.370342E-02	0.279989E-03	0.216642E-02	0.451410E-03	0.321719E-02	0.196775E-02	0.252000E-03	0.454462E-05	0.179045E+00	0.319453E+00	0.125398E+00	0.361009E-01	0.153509E-01	0.805932E-02	0.683408E+00	0.287734E+00	0.971141E+00 
00609	0.171313E+00	0.127411E+00	0.229894E+00	0.294173E-01	0.102882E-02	0.871910E-01	0.982829E-02	0.565134E-03	0.176486E-01	0.518010E-02	0.441090E-02	0.248597E-03	0.618081E-02	0.275233E-02	0.138932E-03	0.236582E-02	0.131829E-03	0.292090E-02	0.151083E-02	0.128490E-03	0.166925E-05	0.171313E+00	0.357306E+00	0.117637E+00	0.332221E-01	0.137316E-01	0.705954E-02	0.700269E+00	0.273451E+00	0.973720E+00 
00619	0.162510E+00	0.874489E-01	0.320417E+00	0.261742E-01	0.399875E-02	0.697144E-01	0.927874E-02	0.774800E-03	0.157614E-01	0.236383E-02	0.423342E-02	0.370336E-03	0.548061E-02	0.134097E-02	0.364703E-04	0.228001E-02	0.224338E-03	0.250023E-02	0.765034E-03	0.349259E-04	0.300474E-06	0.162510E+00	0.407866E+00	0.998873E-01	0.281788E-01	0.114618E-01	0.580484E-02	0.715708E+00	0.261340E+00	0.977048E+00 
00629	0.156137E+00	0.436963E-01	0.411662E+00	0.154118E-01	0.214316E-01	0.390172E-01	0.586223E-02	0.593912E-02	0.989921E-02	0.513820E-03	0.276463E-02	0.264709E-02	0.352835E-02	0.309238E-03	0.357543E-05	0.151515E-02	0.143797E-02	0.160491E-02	0.182931E-03	0.359535E-05	0.331474E-07	0.156137E+00	0.455358E+00	0.758607E-01	0.222144E-01	0.925289E-02	0.474460E-02	0.723568E+00	0.256632E+00	0.980199E+00 
00639	0.154379E+00	0.122495E-01	0.472788E+00	0.417885E-02	0.404709E-01	0.116820E-01	0.172400E-02	0.126619E-01	0.320092E-02	0.214812E-04	0.852436E-03	0.577329E-02	0.112859E-02	0.131664E-04	0.912960E-07	0.480243E-03	0.314227E-02	0.498440E-03	0.799507E-05	0.105707E-06	0.707593E-08	0.154379E+00	0.485037E+00	0.563318E-01	0.176083E-01	0.776757E-02	0.412906E-02	0.725253E+00	0.257156E+00	0.982409E+00 
00649	0.157106E+00	0.404882E-03	0.492388E+00	0.255254E-04	0.471872E-01	0.143342E-02	0.315789E-04	0.153709E-01	0.209944E-03	0.185313E-04	0.218666E-04	0.707903E-02	0.348918E-04	0.100434E-04	0.684881E-08	0.144316E-04	0.386317E-02	0.657110E-05	0.557443E-05	0.102323E-07	0.543785E-08	0.157106E+00	0.492793E+00	0.486461E-01	0.156310E-01	0.714584E-02	0.388976E-02	0.725212E+00	0.258379E+00	0.983591E+00 
00659	0.162308E+00	0.283364E-02	0.482961E+00	0.235519E-02	0.428017E-01	0.564449E-02	0.827422E-03	0.139009E-01	0.878645E-03	0.660819E-04	0.363036E-03	0.637021E-02	0.299174E-03	0.405916E-04	0.226424E-06	0.189825E-03	0.346126E-02	0.160657E-03	0.245989E-04	0.208231E-06	0.634701E-08	0.162308E+00	0.485795E+00	0.508014E-01	0.156731E-01	0.707323E-02	0.383656E-02	0.725487E+00	0.258828E+00	0.984315E+00 
00669	0.167428E+00	0.981183E-02	0.464996E+00	0.638011E-02	0.358665E-01	0.140158E-01	0.227307E-02	0.113972E-01	0.254125E-02	0.194856E-03	0.101515E-02	0.515469E-02	0.890832E-03	0.119800E-03	0.891194E-06	0.537729E-03	0.277650E-02	0.450906E-03	0.727080E-04	0.824208E-06	0.966397E-08	0.167428E+00	0.474808E+00	0.562624E-01	0.164064E-01	0.718135E-02	0.383868E-02	0.725925E+00	0.258943E+00	0.984868E+00 
00679	0.170590E+00	0.147603E-01	0.452615E+00	0.897875E-02	0.315662E-01	0.196206E-01	0.319052E-02	0.983261E-02	0.359385E-02	0.331186E-03	0.142664E-02	0.439524E-02	0.124122E-02	0.201723E-03	0.170843E-05	0.756778E-03	0.234966E-02	0.613745E-03	0.121717E-03	0.158430E-05	0.140103E-07	0.170590E+00	0.467376E+00	0.601656E-01	0.169482E-01	0.726653E-02	0.384350E-02	0.726189E+00	0.259020E+00	0.985209E+00 
00689	0.171160E+00	0.156627E-01	0.450353E+00	0.943939E-02	0.308214E-01	0.206280E-01	0.335112E-02	0.956000E-02	0.377456E-02	0.360481E-03	0.149825E-02	0.426275E-02	0.129900E-02	0.219156E-03	0.190186E-05	0.794776E-03	0.227522E-02	0.639833E-03	0.132081E-03	0.176418E-05	0.150434E-07	0.171160E+00	0.466016E+00	0.608887E-01	0.170462E-01	0.728105E-02	0.384369E-02	0.726235E+00	0.259040E+00	0.985275E+00 
00699	0.169658E+00	0.133771E-01	0.456181E+00	0.823069E-02	0.327122E-01	0.179958E-01	0.293040E-02	0.102816E-01	0.331639E-02	0.286206E-03	0.131093E-02	0.461902E-02	0.115483E-02	0.175070E-03	0.141971E-05	0.695452E-03	0.247671E-02	0.575027E-03	0.105905E-03	0.131590E-05	0.125185E-07	0.169658E+00	0.469558E+00	0.589387E-01	0.168146E-01	0.726127E-02	0.385442E-02	0.726085E+00	0.258951E+00	0.985036E+00 
00709	0.167237E+00	0.974590E-02	0.465508E+00	0.620723E-02	0.358363E-01	0.136324E-01	0.221838E-02	0.115273E-01	0.254797E-02	0.184027E-03	0.992353E-03	0.524396E-02	0.907912E-03	0.113989E-03	0.821807E-06	0.526087E-03	0.283263E-02	0.461544E-03	0.694702E-04	0.759943E-06	0.947847E-08	0.167237E+00	0.475254E+00	0.556760E-01	0.164776E-01	0.725904E-02	0.389050E-02	0.725794E+00	0.258735E+00	0.984530E+00 
00719	0.165033E+00	0.632930E-02	0.474235E+00	0.418632E-02	0.389328E-01	0.931068E-02	0.149855E-02	0.128312E-01	0.177185E-02	0.107561E-03	0.668705E-03	0.590930E-02	0.650717E-03	0.676667E-04	0.425502E-06	0.353622E-03	0.321418E-02	0.339800E-03	0.416036E-04	0.391800E-06	0.757436E-08	0.165033E+00	0.480564E+00	0.524297E-01	0.162091E-01	0.729681E-02	0.394961E-02	0.725483E+00	0.258398E+00	0.983881E+00 
00729	0.163693E+00	0.387417E-02	0.480267E+00	0.265361E-02	0.412915E-01	0.603902E-02	0.948309E-03	0.138812E-01	0.117486E-02	0.651866E-04	0.420884E-03	0.645193E-02	0.446861E-03	0.415287E-04	0.221885E-06	0.221537E-03	0.352665E-02	0.240483E-03	0.257015E-04	0.203200E-06	0.668176E-08	0.163693E+00	0.484141E+00	0.499841E-01	0.160696E-01	0.736143E-02	0.401458E-02	0.725263E+00	0.257992E+00	0.983255E+00 
00739	0.163255E+00	0.241880E-02	0.483472E+00	0.170444E-02	0.427922E-01	0.400168E-02	0.606919E-03	0.145788E-01	0.799787E-03	0.451874E-04	0.267481E-03	0.681367E-02	0.315472E-03	0.289416E-04	0.127030E-06	0.139979E-03	0.373481E-02	0.174809E-03	0.179491E-04	0.115701E-06	0.630155E-08	0.163255E+00	0.485890E+00	0.484983E-01	0.160307E-01	0.742569E-02	0.406767E-02	0.725168E+00	0.257607E+00	0.982775E+00 
00749	0.163362E+00	0.168173E-02	0.484749E+00	0.120766E-02	0.436232E-01	0.292468E-02	0.428699E-03	0.149702E-01	0.601106E-03	0.364670E-04	0.187806E-03	0.701496E-02	0.244487E-03	0.233561E-04	0.850401E-07	0.978015E-04	0.384994E-02	0.138563E-03	0.144728E-04	0.771040E-07	0.613845E-08	0.163362E+00	0.486430E+00	0.477555E-01	0.160365E-01	0.747069E-02	0.410086E-02	0.725156E+00	0.257325E+00	0.982481E+00 
00759	0.163599E+00	0.136703E-02	0.485093E+00	0.990653E-03	0.440147E-01	0.245019E-02	0.351165E-03	0.151500E-01	0.514039E-03	0.329854E-04	0.153324E-03	0.710565E-02	0.212989E-03	0.211024E-04	0.680975E-07	0.796238E-04	0.390131E-02	0.122220E-03	0.130613E-04	0.615596E-07	0.607194E-08	0.163599E+00	0.486460E+00	0.474556E-01	0.160482E-01	0.749314E-02	0.411628E-02	0.725172E+00	0.257173E+00	0.982345E+00 
00769	0.163735E+00	0.126684E-02	0.485139E+00	0.920598E-03	0.441506E-01	0.229653E-02	0.326205E-03	0.152091E-01	0.486215E-03	0.318895E-04	0.142254E-03	0.713474E-02	0.202868E-03	0.203909E-04	0.627609E-07	0.738015E-04	0.391760E-02	0.116910E-03	0.126150E-04	0.566647E-07	0.605096E-08	0.163735E+00	0.486406E+00	0.473677E-01	0.160534E-01	0.750031E-02	0.412099E-02	0.725183E+00	0.257119E+00	0.982302E+00 
00779	0.163764E+00	0.125087E-02	0.485139E+00	0.909449E-03	0.441734E-01	0.227197E-02	0.322210E-03	0.152184E-01	0.481851E-03	0.317128E-04	0.140477E-03	0.713925E-02	0.201279E-03	0.202765E-04	0.619039E-07	0.728651E-04	0.392011E-02	0.116069E-03	0.125433E-04	0.558783E-07	0.604766E-08	0.163764E+00	0.486389E+00	0.473549E-01	0.160542E-01	0.750134E-02	0.412165E-02	0.725186E+00	0.257110E+00	0.982296E+00 
00785	0.163765E+00	0.125060E-02	0.485138E+00	0.909318E-03	0.441738E-01	0.227159E-02	0.322140E-03	0.152186E-01	0.481785E-03	0.317100E-04	0.140441E-03	0.713933E-02	0.201254E-03	0.202747E-04	0.618904E-07	0.728447E-04	0.392016E-02	0.116056E-03	0.125422E-04	0.558659E-07	0.604761E-08	0.163765E+00	0.486389E+00	0.473547E-01	0.160543E-01	0.750136E-02	0.412166E-02	0.725186E+00	0.257110E+00	0.982296E+00 
00785	0.163765E+00	0.125060E-02	0.485138E+00	0.909318E-03	0.441738E-01	0.227159E-02	0.322140E-03	0.152186E-01	0.481785E-03	0.317100E-04	0.140441E-03	0.713933E-02	0.201254E-03	0.202747E-04	0.618904E-07	0.728447E-04	0.392016E-02	0.116056E-03	0.125422E-04	0.558659E-07	0.604761E-08	0.163765E+00	0.486389E+00	0.473547E-01	0.160543E-01	0.750136E-02	0.412166E-02	0.725186E+00	0.257110E+00	0.982296E+00 
