tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	oInt        	bInt        	tInt 
00109	0.999096E+00	0.284000E-06	0.556305E-03	0.380926E-07	0.857932E-04	0.749358E-07	0.124811E-07	0.292990E-04	0.315210E-07	0.439614E-11	0.570512E-08	0.136364E-04	0.157853E-07	0.307676E-11	0.145202E-15	0.310702E-08	0.749748E-05	0.899157E-08	0.200449E-11	0.142350E-15	0.311705E-20	0.999096E+00	0.556589E-03	0.859062E-04	0.293430E-04	0.136579E-04	0.750959E-05	0.999789E+00	0.187737E-03	0.999976E+00 
00119	0.998650E+00	0.685490E-07	0.708698E-03	0.145679E-07	0.130787E-03	0.382325E-07	0.555596E-08	0.471290E-04	0.181640E-07	0.402741E-12	0.271840E-08	0.224539E-04	0.960875E-08	0.300086E-12	0.242740E-17	0.153521E-08	0.124985E-04	0.563631E-08	0.202379E-12	0.240745E-17	0.161320E-22	0.998650E+00	0.708766E-03	0.130840E-03	0.471527E-04	0.224662E-04	0.125057E-04	0.999572E+00	0.386237E-03	0.999958E+00 
00129	0.996782E+00	0.147389E-05	0.166304E-02	0.338161E-06	0.317977E-03	0.322951E-06	0.130034E-06	0.115308E-03	0.159515E-06	0.139284E-10	0.637399E-07	0.550512E-04	0.856709E-07	0.109730E-10	0.198951E-15	0.360175E-07	0.306716E-04	0.506335E-07	0.761156E-11	0.213272E-15	0.119314E-20	0.996782E+00	0.166451E-02	0.318638E-03	0.115597E-03	0.552006E-04	0.307583E-04	0.998967E+00	0.931734E-03	0.999899E+00 
00139	0.992404E+00	0.133525E-04	0.417075E-02	0.286774E-05	0.752438E-03	0.265359E-05	0.107975E-05	0.267917E-03	0.128707E-05	0.374413E-09	0.524250E-06	0.126864E-03	0.685707E-06	0.294902E-09	0.150978E-13	0.294722E-06	0.703705E-04	0.403532E-06	0.204525E-09	0.164003E-13	0.181969E-18	0.992404E+00	0.418410E-02	0.757960E-03	0.270284E-03	0.128074E-03	0.710690E-04	0.997815E+00	0.195739E-02	0.999773E+00 
00149	0.985003E+00	0.699308E-04	0.862983E-02	0.139819E-04	0.147059E-02	0.141339E-04	0.515049E-05	0.513954E-03	0.668491E-05	0.508075E-08	0.247633E-05	0.241318E-03	0.352277E-05	0.394931E-08	0.430398E-12	0.138485E-05	0.133250E-03	0.206116E-05	0.272101E-08	0.464514E-12	0.426031E-17	0.985003E+00	0.869977E-02	0.149871E-02	0.525794E-03	0.247321E-03	0.136699E-03	0.996112E+00	0.346218E-02	0.999574E+00 
00159	0.975339E+00	0.244075E-03	0.145208E-01	0.459084E-04	0.237086E-02	0.499099E-04	0.165796E-04	0.816204E-03	0.231356E-04	0.391631E-07	0.790002E-05	0.380586E-03	0.120814E-04	0.300088E-07	0.752384E-11	0.439659E-05	0.209363E-03	0.703435E-05	0.205238E-07	0.792951E-11	0.523567E-15	0.975339E+00	0.147649E-01	0.246667E-02	0.855958E-03	0.400598E-03	0.220815E-03	0.994048E+00	0.528076E-02	0.999329E+00 
00169	0.965537E+00	0.601935E-03	0.203641E-01	0.108251E-03	0.322667E-02	0.122265E-03	0.384768E-04	0.109840E-02	0.558999E-04	0.174960E-06	0.181989E-04	0.509494E-03	0.289997E-04	0.132939E-06	0.650152E-10	0.100876E-04	0.279479E-03	0.168239E-04	0.905076E-07	0.678101E-10	0.114721E-13	0.965537E+00	0.209660E-01	0.345719E-02	0.119295E-02	0.556825E-03	0.306481E-03	0.992016E+00	0.707631E-02	0.999092E+00 
00179	0.958221E+00	0.109403E-02	0.245144E-01	0.190948E-03	0.380353E-02	0.217853E-03	0.670968E-04	0.128418E-02	0.986954E-04	0.475543E-06	0.315643E-04	0.593380E-03	0.509668E-04	0.359884E-06	0.275976E-09	0.174442E-04	0.324814E-03	0.294921E-04	0.244447E-06	0.287431E-09	0.746470E-13	0.958221E+00	0.256084E-01	0.421233E-02	0.145045E-02	0.676272E-03	0.371995E-03	0.990541E+00	0.838333E-02	0.998924E+00 
00189	0.954939E+00	0.150495E-02	0.262536E-01	0.258450E-03	0.401188E-02	0.293335E-03	0.902288E-04	0.134643E-02	0.132158E-03	0.814691E-06	0.423155E-04	0.620387E-03	0.680535E-04	0.615523E-06	0.603506E-09	0.233464E-04	0.339071E-03	0.393162E-04	0.417651E-06	0.629309E-09	0.193071E-12	0.954939E+00	0.277585E-01	0.456366E-02	0.156963E-02	0.731372E-03	0.402152E-03	0.989964E+00	0.888818E-02	0.998852E+00 
00199	0.954601E+00	0.156374E-02	0.264234E-01	0.268053E-03	0.402938E-02	0.303733E-03	0.935098E-04	0.135117E-02	0.136747E-03	0.868931E-06	0.438381E-04	0.622319E-03	0.703910E-04	0.656382E-06	0.663067E-09	0.241815E-04	0.340052E-03	0.406583E-04	0.445321E-06	0.691567E-09	0.215893E-12	0.954601E+00	0.279872E-01	0.460117E-02	0.158229E-02	0.737205E-03	0.405338E-03	0.989915E+00	0.893054E-02	0.998845E+00 
00209	0.952698E+00	0.113271E-02	0.276194E-01	0.196359E-03	0.438086E-02	0.235132E-03	0.688331E-04	0.148899E-02	0.106903E-03	0.514508E-06	0.323458E-04	0.689974E-03	0.553027E-04	0.389016E-06	0.310799E-09	0.178657E-04	0.378244E-03	0.320328E-04	0.264121E-06	0.322476E-09	0.995345E-13	0.952698E+00	0.287522E-01	0.481235E-02	0.166524E-02	0.778012E-03	0.428407E-03	0.989135E+00	0.963616E-02	0.998771E+00 
00219	0.942022E+00	0.382519E-03	0.340780E-01	0.675448E-04	0.584881E-02	0.133354E-03	0.241016E-04	0.203099E-02	0.632923E-04	0.120668E-06	0.114447E-04	0.949268E-03	0.334380E-04	0.910570E-07	0.435781E-10	0.636118E-05	0.522638E-03	0.195957E-04	0.618079E-07	0.440966E-10	0.148178E-13	0.942022E+00	0.344606E-01	0.604971E-02	0.211851E-02	0.994242E-03	0.548657E-03	0.986194E+00	0.121911E-01	0.998385E+00 
00229	0.915706E+00	0.954996E-04	0.498826E-01	0.337821E-04	0.884431E-02	0.174633E-03	0.147574E-04	0.307354E-02	0.880823E-04	0.685100E-07	0.764460E-05	0.143438E-02	0.477302E-04	0.548990E-07	0.484900E-11	0.444696E-05	0.788688E-03	0.283395E-04	0.384436E-07	0.529287E-11	0.478114E-16	0.915706E+00	0.499781E-01	0.905272E-02	0.317645E-02	0.148981E-02	0.821512E-03	0.980224E+00	0.172642E-01	0.997488E+00 
00239	0.872224E+00	0.209900E-02	0.737351E-01	0.475811E-03	0.123438E-01	0.756526E-03	0.179544E-03	0.418145E-02	0.371612E-03	0.142874E-05	0.870131E-04	0.192700E-02	0.198492E-03	0.113379E-05	0.810655E-09	0.488309E-04	0.105214E-02	0.116875E-03	0.789037E-06	0.875029E-09	0.181986E-12	0.872224E+00	0.758342E-01	0.135761E-01	0.473403E-02	0.221364E-02	0.121864E-02	0.969801E+00	0.263963E-01	0.996197E+00 
