  3.234767E-01 -1.295586E-01  3.227725E-01 -1.292698E-01  3.220603E-01 -1.289777E-01  3.213402E-01 -1.286825E-01  3.206125E-01 -1.283841E-01
  3.198773E-01 -1.280827E-01  3.191347E-01 -1.277784E-01  3.183849E-01 -1.274711E-01  3.176281E-01 -1.271609E-01  3.168643E-01 -1.268480E-01
  3.160938E-01 -1.265323E-01  3.153166E-01 -1.262139E-01  3.145330E-01 -1.258929E-01  3.137430E-01 -1.255693E-01  3.129468E-01 -1.252432E-01
  3.121445E-01 -1.249146E-01  3.113363E-01 -1.245836E-01  3.105223E-01 -1.242503E-01  3.097026E-01 -1.239147E-01  3.088774E-01 -1.235768E-01
  3.080467E-01 -1.232367E-01  3.072108E-01 -1.228945E-01  3.063697E-01 -1.225502E-01  3.055235E-01 -1.222038E-01  3.046724E-01 -1.218555E-01
  3.038166E-01 -1.215051E-01  3.029560E-01 -1.211529E-01  3.020909E-01 -1.207989E-01  3.012213E-01 -1.204430E-01  3.003474E-01 -1.200854E-01
  2.994693E-01 -1.197260E-01  2.985870E-01 -1.193650E-01  2.977008E-01 -1.190023E-01  2.968106E-01 -1.186381E-01  2.959167E-01 -1.182723E-01
  2.950191E-01 -1.179051E-01  2.941179E-01 -1.175364E-01  2.932133E-01 -1.171662E-01  2.923053E-01 -1.167947E-01  2.913940E-01 -1.164219E-01
  2.904795E-01 -1.160478E-01  2.895619E-01 -1.156724E-01  2.886414E-01 -1.152958E-01  2.877180E-01 -1.149180E-01  2.867918E-01 -1.145391E-01
  2.858629E-01 -1.141592E-01  2.849314E-01 -1.137781E-01  2.839974E-01 -1.133960E-01  2.830610E-01 -1.130129E-01  2.821222E-01 -1.126289E-01
  2.811812E-01 -1.122440E-01  2.802380E-01 -1.118582E-01  2.792928E-01 -1.114715E-01  2.783455E-01 -1.110840E-01  2.773963E-01 -1.106957E-01
  2.764453E-01 -1.103067E-01  2.754926E-01 -1.099170E-01  2.745381E-01 -1.095265E-01  2.735821E-01 -1.091355E-01  2.726246E-01 -1.087437E-01
  2.716656E-01 -1.083515E-01  2.707052E-01 -1.079586E-01  2.697435E-01 -1.075652E-01  2.687807E-01 -1.071713E-01  2.678166E-01 -1.067770E-01
  2.668515E-01 -1.063822E-01  2.658854E-01 -1.059869E-01  2.649183E-01 -1.055913E-01  2.639504E-01 -1.051953E-01  2.629817E-01 -1.047990E-01
  2.620122E-01 -1.044024E-01  2.610420E-01 -1.040055E-01  2.600713E-01 -1.036084E-01  2.590999E-01 -1.032110E-01  2.581281E-01 -1.028134E-01
  2.571559E-01 -1.024156E-01  2.561833E-01 -1.020177E-01  2.552104E-01 -1.016197E-01  2.542372E-01 -1.012215E-01  2.532639E-01 -1.008233E-01
  2.522904E-01 -1.004250E-01  2.513169E-01 -1.000266E-01  2.503433E-01 -9.962825E-02  2.493698E-01 -9.922990E-02  2.483964E-01 -9.883158E-02
  2.474231E-01 -9.843330E-02  2.464499E-01 -9.803510E-02  2.454771E-01 -9.763699E-02  2.445045E-01 -9.723899E-02  2.435323E-01 -9.684112E-02
  2.425605E-01 -9.644340E-02  2.415891E-01 -9.604586E-02  2.406182E-01 -9.564851E-02  2.396478E-01 -9.525137E-02  2.386781E-01 -9.485445E-02
  2.377089E-01 -9.445779E-02  2.367405E-01 -9.406139E-02  2.357727E-01 -9.366527E-02  2.348057E-01 -9.326946E-02  2.338395E-01 -9.287396E-02
  2.328742E-01 -9.247880E-02  2.319098E-01 -9.208399E-02  2.309462E-01 -9.168955E-02  2.299837E-01 -9.129549E-02  2.290221E-01 -9.090184E-02
  2.280617E-01 -9.050860E-02  2.271022E-01 -9.011579E-02  2.261439E-01 -8.972344E-02  2.251868E-01 -8.933154E-02  2.242309E-01 -8.894012E-02
  2.232762E-01 -8.854920E-02  2.223227E-01 -8.815877E-02  2.213706E-01 -8.776887E-02  2.204198E-01 -8.737951E-02  2.194704E-01 -8.699069E-02
  2.185224E-01 -8.660243E-02  2.175758E-01 -8.621474E-02  2.166306E-01 -8.582764E-02  2.156870E-01 -8.544114E-02  2.147449E-01 -8.505526E-02
  2.138043E-01 -8.466999E-02  2.128654E-01 -8.428536E-02  2.119280E-01 -8.390138E-02  2.109923E-01 -8.351806E-02  2.100583E-01 -8.313541E-02
  2.091260E-01 -8.275345E-02  2.081954E-01 -8.237217E-02  2.072665E-01 -8.199160E-02  2.063395E-01 -8.161174E-02  2.054142E-01 -8.123261E-02
  2.044908E-01 -8.085421E-02  2.035692E-01 -8.047656E-02  2.026495E-01 -8.009966E-02  2.017317E-01 -7.972353E-02  2.008158E-01 -7.934817E-02
  1.999019E-01 -7.897359E-02  1.989900E-01 -7.859981E-02  1.980800E-01 -7.822683E-02  1.971721E-01 -7.785465E-02  1.962662E-01 -7.748330E-02
  1.953623E-01 -7.711277E-02  1.944606E-01 -7.674308E-02  1.935609E-01 -7.637423E-02  1.926634E-01 -7.600623E-02  1.917679E-01 -7.563909E-02
  1.908747E-01 -7.527282E-02  1.899836E-01 -7.490742E-02  1.890947E-01 -7.454291E-02  1.882080E-01 -7.417928E-02  1.873235E-01 -7.381654E-02
  1.864413E-01 -7.345471E-02  1.855613E-01 -7.309379E-02  1.846836E-01 -7.273378E-02  1.838082E-01 -7.237469E-02  1.829351E-01 -7.201653E-02
  1.820643E-01 -7.165931E-02  1.811959E-01 -7.130303E-02  1.803298E-01 -7.094769E-02  1.794661E-01 -7.059330E-02  1.786047E-01 -7.023987E-02
  1.777457E-01 -6.988740E-02  1.768892E-01 -6.953590E-02  1.760350E-01 -6.918537E-02  1.751833E-01 -6.883582E-02  1.743340E-01 -6.848725E-02
  1.734872E-01 -6.813967E-02  1.726428E-01 -6.779309E-02  1.718009E-01 -6.744749E-02  1.709615E-01 -6.710290E-02  1.701246E-01 -6.675932E-02
  1.692901E-01 -6.641674E-02  1.684582E-01 -6.607518E-02  1.676289E-01 -6.573463E-02  1.668020E-01 -6.539511E-02  1.659777E-01 -6.505661E-02
  1.651560E-01 -6.471914E-02  1.643368E-01 -6.438270E-02  1.635202E-01 -6.404730E-02  1.627061E-01 -6.371294E-02  1.618947E-01 -6.337961E-02
  1.610858E-01 -6.304734E-02  1.602795E-01 -6.271611E-02  1.594759E-01 -6.238593E-02  1.586748E-01 -6.205680E-02  1.578764E-01 -6.172873E-02
  1.570806E-01 -6.140172E-02  1.562874E-01 -6.107577E-02  1.554969E-01 -6.075089E-02  1.547090E-01 -6.042707E-02  1.539238E-01 -6.010432E-02
  1.531412E-01 -5.978264E-02  1.523612E-01 -5.946203E-02  1.515840E-01 -5.914249E-02  1.508094E-01 -5.882404E-02  1.500374E-01 -5.850665E-02
  1.492682E-01 -5.819035E-02  1.485016E-01 -5.787513E-02  1.477377E-01 -5.756100E-02  1.469765E-01 -5.724794E-02  1.462180E-01 -5.693597E-02
  1.454622E-01 -5.662509E-02  1.447091E-01 -5.631530E-02  1.439587E-01 -5.600659E-02  1.432110E-01 -5.569898E-02  1.424659E-01 -5.539245E-02
  1.417236E-01 -5.508702E-02  1.409840E-01 -5.478268E-02  1.402471E-01 -5.447944E-02  1.395130E-01 -5.417729E-02  1.387815E-01 -5.387623E-02
  1.380528E-01 -5.357627E-02  1.373267E-01 -5.327740E-02  1.366034E-01 -5.297963E-02  1.358828E-01 -5.268296E-02  1.351649E-01 -5.238738E-02
  1.344497E-01 -5.209290E-02  1.337373E-01 -5.179952E-02  1.330276E-01 -5.150723E-02  1.323206E-01 -5.121604E-02  1.316163E-01 -5.092595E-02
  1.309147E-01 -5.063696E-02  1.302158E-01 -5.034906E-02  1.295197E-01 -5.006226E-02  1.288263E-01 -4.977656E-02  1.281356E-01 -4.949195E-02
  1.274476E-01 -4.920844E-02  1.267623E-01 -4.892602E-02  1.260798E-01 -4.864470E-02  1.253999E-01 -4.836447E-02  1.247228E-01 -4.808534E-02
  1.240483E-01 -4.780730E-02  1.233766E-01 -4.753035E-02  1.227076E-01 -4.725449E-02  1.220413E-01 -4.697973E-02  1.213777E-01 -4.670605E-02
